Timestamp,Truck_ID,Engine_Type,Maintenance_History,Weather_Temperature,Average_Speed,Fuel_Consumption
2023-01-01 00:00:00,TRK001,Gasoline,No history,23.889391515364505,92.48252923676114,9.712944238834849
2023-01-01 01:00:00,TRK001,Gasoline,No history,22.02310546427995,75.86158909249784,10.728945396570797
2023-01-01 02:00:00,TRK001,Diesel,No history,11.289818065705425,54.941085650144544,11.583613268730662
2023-01-01 03:00:00,TRK001,Diesel,No history,10.137305433159923,52.6588681881116,11.176254612451032
2023-01-01 04:00:00,TRK001,Diesel,No history,20.15069952366446,86.75762679637049,10.295938023998042
2023-01-01 05:00:00,TRK001,Gasoline,No history,18.99069265480243,45.78552492500796,9.490589561662564
2023-01-01 06:00:00,TRK001,Gasoline,No history,29.239847116250928,43.470733839819076,11.486299140638215
2023-01-01 07:00:00,TRK001,Gasoline,No history,17.585770385161975,48.27240131075695,9.88754640317691
2023-01-01 08:00:00,TRK001,Diesel,Service recently,21.485215358502376,77.23340121229128,11.836990558987175
2023-01-01 09:00:00,TRK001,Diesel,Service recently,31.295475165551387,92.97091459488122,9.11097829781082
2023-01-01 10:00:00,TRK001,Gasoline,Service recently,19.91971728452051,58.30912829484246,9.391962183193185
2023-01-01 11:00:00,TRK001,Gasoline,Service recently,28.465489548862877,84.39585998429952,11.185163953261744
2023-01-01 12:00:00,TRK001,Gasoline,Service recently,27.2530706911479,51.753953098991474,9.8244660374121
2023-01-01 13:00:00,TRK001,Gasoline,No history,28.038191663305263,74.96954298576415,11.88936874697024
2023-01-01 14:00:00,TRK001,Gasoline,No history,13.528786209658747,78.87760668738935,8.657679145669745
2023-01-01 15:00:00,TRK001,Diesel,No history,30.95331566858528,53.70270250754064,11.084157888137057
2023-01-01 16:00:00,TRK001,Gasoline,Service recently,27.16328757711078,72.98336724869957,11.009432114506442
2023-01-01 17:00:00,TRK001,Diesel,No history,25.41811870277663,44.924620504170456,9.488667371337918
2023-01-01 18:00:00,TRK001,Gasoline,No history,33.44549042617723,82.19963070157428,11.35640997844924
2023-01-01 19:00:00,TRK001,Gasoline,Service recently,11.414909058308531,71.32083671659024,8.896784919979073
2023-01-01 20:00:00,TRK001,Gasoline,No history,22.186921709914238,75.13764616799679,8.46068059593248
2023-01-01 21:00:00,TRK001,Diesel,No history,19.344095792556786,47.06672262408802,8.107181931989402
2023-01-01 22:00:00,TRK001,Gasoline,No history,21.140086915088215,98.7474348036846,11.585619131656397
2023-01-01 23:00:00,TRK001,Gasoline,Service recently,14.264531118741868,89.37381926740696,9.191074109979105
2023-01-01 00:00:00,TRK002,Gasoline,Service recently,12.492272924986658,54.26133013299324,10.076036468061965
2023-01-01 01:00:00,TRK002,Diesel,Service recently,21.284190312825956,40.52695161930304,9.482013538674007
2023-01-01 02:00:00,TRK002,Diesel,No history,21.76050232345836,88.86169943954758,9.78396991137852
2023-01-01 03:00:00,TRK002,Diesel,No history,34.356473931620265,44.01244617575273,11.775943645966064
2023-01-01 04:00:00,TRK002,Gasoline,No history,33.577208705678586,73.76617472216854,8.24390165601831
2023-01-01 05:00:00,TRK002,Gasoline,No history,12.652865387745232,48.13745251880249,8.930401377674627
2023-01-01 06:00:00,TRK002,Diesel,Service recently,24.940610158437053,74.18219654799421,8.493393876061592
2023-01-01 07:00:00,TRK002,Diesel,Service recently,12.323092239330002,69.85183209394103,10.57708392760348
2023-01-01 08:00:00,TRK002,Diesel,No history,33.857038632295534,61.14561034889614,10.754690093086213
2023-01-01 09:00:00,TRK002,Diesel,Service recently,26.046224438652146,62.53008089201293,8.49132397065629
2023-01-01 10:00:00,TRK002,Gasoline,Service recently,13.752550304503192,62.53389165945116,8.191217776283683
2023-01-01 11:00:00,TRK002,Gasoline,No history,27.410816707024964,96.5178804677972,11.784745378964969
2023-01-01 12:00:00,TRK002,Gasoline,Service recently,31.62867023457621,90.35519835546592,8.12521570817958
2023-01-01 13:00:00,TRK002,Diesel,No history,22.567725784783697,66.67598462914256,10.062338957797767
2023-01-01 14:00:00,TRK002,Gasoline,Service recently,11.351228321942266,51.993121240723426,8.829135949633885
2023-01-01 15:00:00,TRK002,Diesel,No history,21.543459954307572,90.819774007338,11.694790054639395
2023-01-01 16:00:00,TRK002,Diesel,Service recently,12.935357721686344,47.221658449932924,10.597293496590936
2023-01-01 17:00:00,TRK002,Gasoline,No history,25.014412417719974,46.47699009267663,11.946563372355987
2023-01-01 18:00:00,TRK002,Diesel,Service recently,10.852176694199136,72.92867675250255,11.925035896202742
2023-01-01 19:00:00,TRK002,Diesel,No history,19.70468108981634,93.70141542437631,8.563182703862303
2023-01-01 20:00:00,TRK002,Gasoline,No history,30.825702518985675,69.51400157538838,8.910921264111817
2023-01-01 21:00:00,TRK002,Diesel,Service recently,21.73786177578041,45.14472541649067,11.954512464233284
2023-01-01 22:00:00,TRK002,Gasoline,No history,11.764049300059408,82.81936193037626,9.623221684796562
2023-01-01 23:00:00,TRK002,Diesel,No history,25.75594423522,50.018461439232674,11.438206997387745
2023-01-01 00:00:00,TRK003,Gasoline,Service recently,21.35381896919096,83.15603159499832,9.091719095065326
2023-01-01 01:00:00,TRK003,Gasoline,No history,12.895086359914,62.8921130683035,9.983791352702303
2023-01-01 02:00:00,TRK003,Diesel,Service recently,10.810510341009001,48.393334145926325,9.459620375011749
2023-01-01 03:00:00,TRK003,Diesel,Service recently,26.94431162455317,44.19658328857717,10.866790222498736
2023-01-01 04:00:00,TRK003,Gasoline,No history,22.40297067313606,48.02817097992437,9.445367114389981
2023-01-01 05:00:00,TRK003,Diesel,Service recently,21.29355577438379,71.92086223126549,9.497578736697513
2023-01-01 06:00:00,TRK003,Gasoline,No history,19.231475934039764,44.774097305566315,11.167285156080215
2023-01-01 07:00:00,TRK003,Gasoline,No history,28.745419765940465,47.213666062876705,9.917301300852383
2023-01-01 08:00:00,TRK003,Gasoline,No history,33.454962372498976,72.82974923434091,8.642390958686054
2023-01-01 09:00:00,TRK003,Diesel,No history,21.322306937845045,83.86958866552052,10.23508196038855
2023-01-01 10:00:00,TRK003,Gasoline,No history,32.38812267875801,76.33803535942155,9.511511655093347
2023-01-01 11:00:00,TRK003,Gasoline,Service recently,14.579052703032854,57.96529658012427,9.890069882841457
2023-01-01 12:00:00,TRK003,Gasoline,No history,19.55936681459295,73.72053341494767,8.214032617891487
2023-01-01 13:00:00,TRK003,Diesel,Service recently,19.081667728682255,70.60323130577167,10.463517709716776
2023-01-01 14:00:00,TRK003,Diesel,No history,19.436274553075293,75.2824028331007,11.70074316505658
2023-01-01 15:00:00,TRK003,Gasoline,No history,15.683608398321383,79.13124545971903,9.26013294922133
2023-01-01 16:00:00,TRK003,Gasoline,No history,16.261039643570495,52.46882048473246,9.886522797782785
2023-01-01 17:00:00,TRK003,Diesel,Service recently,23.467002404891403,40.773044283052094,9.761248114541473
2023-01-01 18:00:00,TRK003,Diesel,Service recently,29.903377592772944,99.97566214079345,11.664017383975148
2023-01-01 19:00:00,TRK003,Diesel,No history,13.736342381628923,74.27262759077132,11.235637820801163
2023-01-01 20:00:00,TRK003,Gasoline,Service recently,20.308677005554244,85.26973365673399,9.551194625706692
2023-01-01 21:00:00,TRK003,Gasoline,No history,34.345924005971554,59.485936857600294,8.536931311533595
2023-01-01 22:00:00,TRK003,Diesel,No history,16.064540922499802,52.695429342845536,10.605742800764231
2023-01-01 23:00:00,TRK003,Gasoline,Service recently,21.561411963043987,99.18677072284481,11.522223819266447
2023-01-01 00:00:00,TRK004,Diesel,Service recently,27.308702847577102,77.7496333361927,8.922403234636525
2023-01-01 01:00:00,TRK004,Gasoline,No history,17.8518469295727,86.6672426425456,10.58732703200943
2023-01-01 02:00:00,TRK004,Gasoline,Service recently,18.619705152321306,40.70585429666455,9.076293124154535
2023-01-01 03:00:00,TRK004,Gasoline,Service recently,31.26357486781297,68.93983947389087,10.963722842773532
2023-01-01 04:00:00,TRK004,Diesel,No history,31.504106495681867,63.3207867419102,10.933332010741426
2023-01-01 05:00:00,TRK004,Gasoline,No history,30.925394173125042,63.84480862713126,10.511496795139685
2023-01-01 06:00:00,TRK004,Gasoline,Service recently,29.59353832114666,94.30312371278522,8.613732599369552
2023-01-01 07:00:00,TRK004,Gasoline,Service recently,18.958232294872026,48.344227123240586,11.057237173487394
2023-01-01 08:00:00,TRK004,Diesel,No history,16.707114387756775,44.598669527353934,9.340921470545503
2023-01-01 09:00:00,TRK004,Gasoline,No history,23.252914392563092,93.42851919240462,9.385448734987106
2023-01-01 10:00:00,TRK004,Diesel,No history,13.077115242259623,47.05543259884565,10.165228685906829
2023-01-01 11:00:00,TRK004,Gasoline,Service recently,24.19224937727986,40.41503063964129,9.762198096622132
2023-01-01 12:00:00,TRK004,Gasoline,Service recently,32.641696689158366,51.607409406055744,9.352275069905833
2023-01-01 13:00:00,TRK004,Diesel,Service recently,24.126070376290137,90.07680077714332,11.731943923279179
2023-01-01 14:00:00,TRK004,Gasoline,Service recently,29.442164129192147,69.02169855797283,11.580265177903243
2023-01-01 15:00:00,TRK004,Diesel,No history,30.506630351880943,52.41029580095025,11.745210529471667
2023-01-01 16:00:00,TRK004,Gasoline,Service recently,29.194648227716776,87.1442959925611,11.860273985198083
2023-01-01 17:00:00,TRK004,Diesel,Service recently,32.4494835946678,72.25293969973069,10.281019293489631
2023-01-01 18:00:00,TRK004,Diesel,Service recently,11.965865470719866,62.74914145685989,8.880863742802909
2023-01-01 19:00:00,TRK004,Diesel,No history,26.63251845333657,99.28866025256178,8.380229115326323
2023-01-01 20:00:00,TRK004,Diesel,No history,33.947417142866925,42.46890007778715,8.332730603330377
2023-01-01 21:00:00,TRK004,Gasoline,No history,25.76202393388754,48.12111132957938,9.773455797605823
2023-01-01 22:00:00,TRK004,Diesel,No history,31.698469890349166,43.22208140185233,10.962536756378048
2023-01-01 23:00:00,TRK004,Gasoline,No history,15.254112352902037,99.76824754382751,11.748582503546265
2023-01-01 00:00:00,TRK005,Gasoline,Service recently,16.452112626162794,87.09547382612593,10.512186834128585
2023-01-01 01:00:00,TRK005,Diesel,Service recently,17.198463492365832,94.52794868347918,10.124191233876585
2023-01-01 02:00:00,TRK005,Gasoline,No history,32.65187791211725,79.3178016315247,11.334660218801801
2023-01-01 03:00:00,TRK005,Diesel,No history,34.384673934183056,99.9816574623278,10.48163681503732
2023-01-01 04:00:00,TRK005,Gasoline,Service recently,25.15328000315172,69.41457818519075,8.72117617047801
2023-01-01 05:00:00,TRK005,Diesel,No history,10.223529382521628,65.15308928918846,8.287782151267368
2023-01-01 06:00:00,TRK005,Gasoline,No history,25.055950689018914,49.16805301326143,10.826027374370154
